SeriesID,VarID,SymbolID,StartTime,EndTime
6.0,2.0,5.0,29.0,30.0
6.0,2.0,5.0,34.0,36.0
6.0,2.0,5.0,39.0,40.0
6.0,2.0,5.0,41.0,42.0
6.0,2.0,5.0,44.0,45.0
6.0,2.0,5.0,47.0,48.0
6.0,2.0,6.0,24.0,25.0
6.0,3.0,7.0,35.0,40.0
6.0,3.0,7.0,43.0,44.0
6.0,3.0,7.0,48.0,49.0
6.0,3.0,7.0,53.0,54.0
6.0,4.0,12.0,43.0,44.0
6.0,4.0,10.0,35.0,40.0
6.0,4.0,10.0,42.0,43.0
6.0,4.0,10.0,44.0,45.0
6.0,4.0,10.0,47.0,48.0
6.0,4.0,10.0,49.0,50.0
6.0,4.0,10.0,52.0,53.0
6.0,5.0,13.0,12.0,13.0
6.0,5.0,13.0,19.0,20.0
6.0,5.0,13.0,27.0,28.0
6.0,5.0,13.0,33.0,37.0
6.0,5.0,13.0,40.0,41.0
6.0,5.0,15.0,20.0,21.0
6.0,6.0,16.0,35.0,36.0
6.0,6.0,16.0,39.0,40.0
6.0,6.0,16.0,42.0,43.0
6.0,6.0,16.0,45.0,46.0
6.0,6.0,16.0,50.0,51.0
6.0,6.0,16.0,53.0,54.0
6.0,6.0,17.0,36.0,37.0
6.0,7.0,20.0,32.0,53.0
6.0,7.0,21.0,16.0,31.0
6.0,7.0,21.0,62.0,67.0
6.0,7.0,19.0,54.0,61.0
6.0,8.0,23.0,32.0,36.0
6.0,8.0,23.0,62.0,67.0
6.0,8.0,24.0,1.0,31.0
6.0,8.0,22.0,37.0,61.0
6.0,9.0,26.0,12.0,67.0
6.0,9.0,27.0,1.0,11.0
6.0,10.0,30.0,22.0,61.0
6.0,10.0,29.0,62.0,67.0
6.0,11.0,33.0,1.0,11.0
6.0,11.0,32.0,12.0,21.0
6.0,11.0,32.0,32.0,67.0
6.0,11.0,31.0,22.0,31.0
6.0,12.0,36.0,40.0,41.0
6.0,12.0,34.0,41.0,42.0
7.0,1.0,3.0,12.0,36.0
7.0,1.0,3.0,40.0,46.0
7.0,1.0,3.0,54.0,62.0
7.0,1.0,3.0,66.0,67.0
7.0,1.0,2.0,2.0,9.0
7.0,1.0,2.0,37.0,39.0
7.0,1.0,2.0,47.0,53.0
7.0,1.0,2.0,63.0,65.0
7.0,1.0,1.0,10.0,11.0
7.0,2.0,6.0,7.0,9.0
7.0,2.0,6.0,12.0,13.0
7.0,3.0,8.0,12.0,20.0
7.0,3.0,8.0,46.0,47.0
7.0,3.0,8.0,50.0,53.0
7.0,3.0,7.0,42.0,43.0
7.0,3.0,7.0,45.0,46.0
7.0,3.0,9.0,1.0,9.0
7.0,3.0,9.0,44.0,45.0
7.0,4.0,12.0,1.0,33.0
7.0,4.0,12.0,35.0,53.0
7.0,4.0,10.0,34.0,35.0
7.0,5.0,13.0,1.0,12.0
7.0,5.0,13.0,14.0,33.0
7.0,5.0,13.0,36.0,41.0
7.0,5.0,15.0,35.0,36.0
7.0,5.0,15.0,44.0,45.0
7.0,5.0,15.0,50.0,51.0
7.0,5.0,14.0,42.0,43.0
7.0,5.0,14.0,46.0,49.0
7.0,6.0,16.0,13.0,14.0
7.0,6.0,16.0,47.0,48.0
7.0,6.0,16.0,50.0,51.0
7.0,6.0,17.0,49.0,50.0
7.0,6.0,17.0,52.0,53.0
7.0,7.0,20.0,26.0,42.0
7.0,7.0,21.0,21.0,25.0
7.0,7.0,21.0,43.0,62.0
7.0,7.0,19.0,63.0,67.0
7.0,8.0,23.0,10.0,11.0
7.0,8.0,23.0,26.0,36.0
7.0,8.0,24.0,2.0,9.0
7.0,8.0,24.0,13.0,25.0
7.0,8.0,24.0,37.0,62.0
7.0,8.0,22.0,12.0,13.0
7.0,8.0,22.0,63.0,67.0
7.0,9.0,26.0,37.0,42.0
7.0,9.0,25.0,10.0,18.0
7.0,9.0,25.0,26.0,36.0
7.0,9.0,25.0,43.0,62.0
7.0,9.0,27.0,19.0,25.0
7.0,9.0,27.0,63.0,67.0
7.0,10.0,29.0,21.0,29.0
7.0,10.0,29.0,43.0,46.0
7.0,10.0,28.0,2.0,20.0
7.0,10.0,28.0,30.0,42.0
7.0,10.0,28.0,47.0,67.0
7.0,11.0,32.0,63.0,67.0
7.0,11.0,31.0,43.0,62.0
7.0,12.0,36.0,14.0,16.0
7.0,12.0,36.0,18.0,19.0
7.0,12.0,36.0,26.0,33.0
7.0,12.0,36.0,35.0,42.0
7.0,12.0,36.0,48.0,49.0
7.0,12.0,34.0,17.0,18.0
7.0,12.0,34.0,19.0,20.0
7.0,12.0,34.0,21.0,25.0
7.0,12.0,34.0,43.0,44.0
7.0,12.0,34.0,46.0,47.0
7.0,12.0,34.0,50.0,51.0
9.0,1.0,3.0,25.0,30.0
9.0,1.0,2.0,2.0,24.0
9.0,1.0,2.0,41.0,42.0
9.0,1.0,1.0,31.0,40.0
9.0,1.0,1.0,43.0,67.0
9.0,2.0,4.0,8.0,9.0
9.0,2.0,4.0,12.0,13.0
9.0,2.0,5.0,14.0,16.0
9.0,2.0,5.0,18.0,19.0
9.0,2.0,5.0,22.0,23.0
9.0,2.0,5.0,27.0,28.0
9.0,2.0,5.0,29.0,30.0
9.0,2.0,5.0,31.0,32.0
9.0,2.0,5.0,33.0,34.0
9.0,2.0,5.0,35.0,36.0
9.0,2.0,5.0,37.0,38.0
9.0,2.0,5.0,42.0,45.0
9.0,2.0,5.0,47.0,48.0
9.0,2.0,5.0,49.0,50.0
9.0,4.0,10.0,49.0,50.0
9.0,5.0,15.0,1.0,3.0
9.0,5.0,15.0,6.0,9.0
9.0,5.0,15.0,11.0,20.0
9.0,5.0,15.0,22.0,39.0
9.0,5.0,15.0,42.0,51.0
9.0,6.0,18.0,43.0,44.0
9.0,6.0,18.0,49.0,50.0
9.0,6.0,16.0,9.0,19.0
9.0,6.0,16.0,22.0,23.0
9.0,6.0,16.0,24.0,25.0
9.0,6.0,16.0,27.0,29.0
9.0,6.0,16.0,31.0,32.0
9.0,6.0,16.0,33.0,38.0
9.0,6.0,16.0,42.0,43.0
9.0,6.0,16.0,45.0,48.0
9.0,6.0,16.0,51.0,52.0
9.0,7.0,20.0,25.0,30.0
9.0,7.0,20.0,41.0,42.0
9.0,7.0,20.0,53.0,62.0
9.0,7.0,21.0,15.0,24.0
9.0,7.0,21.0,31.0,36.0
9.0,7.0,21.0,43.0,47.0
9.0,7.0,19.0,37.0,40.0
9.0,7.0,19.0,48.0,52.0
9.0,7.0,19.0,63.0,67.0
9.0,8.0,23.0,25.0,30.0
9.0,8.0,23.0,41.0,42.0
9.0,8.0,23.0,53.0,57.0
9.0,8.0,24.0,2.0,24.0
9.0,8.0,24.0,31.0,36.0
9.0,8.0,24.0,43.0,47.0
9.0,8.0,24.0,58.0,62.0
9.0,8.0,22.0,37.0,40.0
9.0,8.0,22.0,48.0,52.0
9.0,8.0,22.0,63.0,67.0
9.0,9.0,26.0,37.0,40.0
9.0,9.0,26.0,43.0,47.0
9.0,9.0,27.0,2.0,36.0
9.0,9.0,27.0,41.0,42.0
9.0,9.0,27.0,48.0,67.0
9.0,10.0,30.0,11.0,42.0
9.0,10.0,30.0,48.0,67.0
9.0,10.0,29.0,43.0,47.0
9.0,11.0,33.0,2.0,40.0
9.0,11.0,33.0,58.0,62.0
9.0,11.0,32.0,41.0,57.0
9.0,11.0,32.0,63.0,67.0
10.0,1.0,3.0,8.0,9.0
10.0,1.0,3.0,16.0,34.0
10.0,1.0,2.0,10.0,15.0
10.0,1.0,2.0,42.0,54.0
10.0,1.0,1.0,35.0,41.0
10.0,1.0,1.0,55.0,67.0
10.0,2.0,4.0,26.0,35.0
10.0,2.0,5.0,8.0,16.0
10.0,2.0,5.0,22.0,23.0
10.0,2.0,5.0,24.0,25.0
10.0,2.0,5.0,38.0,39.0
10.0,2.0,5.0,42.0,45.0
10.0,2.0,5.0,47.0,49.0
10.0,2.0,6.0,36.0,37.0
10.0,2.0,6.0,39.0,40.0
10.0,2.0,6.0,41.0,42.0
10.0,3.0,8.0,1.0,3.0
10.0,3.0,8.0,6.0,13.0
10.0,3.0,9.0,4.0,5.0
10.0,4.0,10.0,51.0,53.0
10.0,5.0,15.0,41.0,42.0
10.0,5.0,15.0,47.0,48.0
10.0,5.0,15.0,51.0,52.0
10.0,5.0,14.0,29.0,40.0
10.0,5.0,14.0,42.0,45.0
10.0,5.0,14.0,48.0,49.0
10.0,6.0,18.0,51.0,53.0
10.0,7.0,21.0,16.0,34.0
10.0,7.0,19.0,35.0,67.0
10.0,8.0,23.0,9.0,25.0
10.0,8.0,24.0,8.0,9.0
10.0,8.0,24.0,26.0,34.0
10.0,8.0,22.0,35.0,67.0
10.0,9.0,26.0,9.0,10.0
10.0,9.0,26.0,13.0,15.0
10.0,9.0,26.0,17.0,18.0
10.0,9.0,26.0,21.0,34.0
10.0,9.0,26.0,36.0,41.0
10.0,9.0,26.0,55.0,67.0
10.0,9.0,25.0,11.0,12.0
10.0,9.0,25.0,16.0,17.0
10.0,9.0,25.0,18.0,20.0
10.0,9.0,27.0,8.0,9.0
10.0,9.0,27.0,35.0,36.0
10.0,9.0,27.0,42.0,54.0
10.0,10.0,30.0,8.0,67.0
10.0,11.0,33.0,8.0,10.0
10.0,11.0,33.0,35.0,37.0
10.0,11.0,32.0,51.0,67.0
10.0,11.0,31.0,11.0,34.0
10.0,11.0,31.0,38.0,50.0
10.0,12.0,36.0,1.0,13.0
10.0,12.0,36.0,22.0,23.0
10.0,12.0,36.0,41.0,42.0
10.0,12.0,36.0,47.0,48.0
10.0,12.0,36.0,51.0,52.0
10.0,12.0,34.0,14.0,16.0
10.0,12.0,34.0,18.0,19.0
10.0,12.0,34.0,21.0,22.0
10.0,12.0,34.0,23.0,40.0
10.0,12.0,34.0,42.0,45.0
10.0,12.0,34.0,48.0,49.0
10.0,12.0,34.0,52.0,53.0
11.0,1.0,3.0,9.0,12.0
11.0,1.0,3.0,21.0,25.0
11.0,1.0,3.0,31.0,34.0
11.0,1.0,3.0,36.0,67.0
11.0,1.0,2.0,13.0,20.0
11.0,1.0,2.0,26.0,30.0
11.0,1.0,2.0,35.0,36.0
11.0,2.0,4.0,9.0,13.0
11.0,2.0,5.0,16.0,19.0
11.0,2.0,5.0,22.0,23.0
11.0,2.0,5.0,26.0,33.0
11.0,2.0,6.0,21.0,22.0
11.0,2.0,6.0,23.0,24.0
11.0,2.0,6.0,34.0,50.0
11.0,3.0,9.0,1.0,2.0
11.0,3.0,9.0,4.0,13.0
11.0,3.0,9.0,15.0,24.0
11.0,3.0,9.0,26.0,28.0
11.0,3.0,9.0,30.0,53.0
11.0,4.0,12.0,7.0,13.0
11.0,4.0,12.0,16.0,17.0
11.0,4.0,10.0,1.0,6.0
11.0,4.0,10.0,15.0,16.0
11.0,4.0,10.0,18.0,23.0
11.0,4.0,10.0,26.0,28.0
11.0,4.0,10.0,30.0,40.0
11.0,4.0,10.0,47.0,48.0
11.0,4.0,10.0,53.0,54.0
11.0,5.0,13.0,17.0,22.0
11.0,5.0,13.0,26.0,44.0
11.0,5.0,13.0,46.0,51.0
11.0,5.0,15.0,16.0,17.0
11.0,5.0,15.0,24.0,25.0
11.0,5.0,15.0,45.0,46.0
11.0,6.0,18.0,1.0,5.0
11.0,6.0,18.0,8.0,11.0
11.0,6.0,18.0,15.0,53.0
11.0,6.0,16.0,6.0,7.0
11.0,6.0,17.0,12.0,14.0
11.0,7.0,20.0,36.0,39.0
11.0,7.0,21.0,13.0,16.0
11.0,7.0,19.0,17.0,35.0
11.0,7.0,19.0,40.0,67.0
11.0,8.0,23.0,36.0,39.0
11.0,8.0,23.0,66.0,67.0
11.0,8.0,24.0,9.0,16.0
11.0,8.0,24.0,35.0,36.0
11.0,8.0,22.0,17.0,34.0
11.0,8.0,22.0,40.0,65.0
11.0,9.0,26.0,31.0,53.0
11.0,9.0,26.0,55.0,58.0
11.0,9.0,27.0,9.0,30.0
11.0,9.0,27.0,54.0,55.0
11.0,9.0,27.0,59.0,67.0
11.0,10.0,30.0,10.0,25.0
11.0,10.0,30.0,31.0,34.0
11.0,10.0,30.0,40.0,53.0
11.0,10.0,29.0,26.0,30.0
11.0,10.0,29.0,54.0,58.0
11.0,10.0,29.0,66.0,67.0
11.0,10.0,28.0,35.0,39.0
11.0,10.0,28.0,59.0,65.0
11.0,11.0,33.0,9.0,12.0
11.0,11.0,32.0,13.0,16.0
11.0,11.0,32.0,26.0,39.0
11.0,11.0,32.0,66.0,67.0
11.0,11.0,31.0,17.0,25.0
11.0,11.0,31.0,40.0,65.0
11.0,12.0,36.0,23.0,24.0
11.0,12.0,36.0,45.0,46.0
11.0,12.0,34.0,19.0,22.0
11.0,12.0,34.0,26.0,44.0
11.0,12.0,34.0,46.0,47.0
11.0,12.0,34.0,50.0,52.0
12.0,1.0,2.0,7.0,23.0
12.0,1.0,1.0,24.0,67.0
12.0,2.0,4.0,11.0,12.0
12.0,2.0,5.0,8.0,9.0
12.0,2.0,5.0,16.0,17.0
12.0,2.0,5.0,21.0,22.0
12.0,2.0,6.0,27.0,28.0
12.0,2.0,6.0,33.0,34.0
12.0,2.0,6.0,41.0,42.0
12.0,2.0,6.0,43.0,44.0
12.0,2.0,6.0,48.0,49.0
12.0,4.0,12.0,53.0,54.0
12.0,4.0,10.0,8.0,9.0
12.0,4.0,10.0,11.0,12.0
12.0,4.0,10.0,16.0,17.0
12.0,4.0,10.0,21.0,22.0
12.0,4.0,10.0,41.0,43.0
12.0,7.0,21.0,24.0,67.0
12.0,8.0,23.0,24.0,52.0
12.0,8.0,23.0,66.0,67.0
12.0,8.0,24.0,7.0,23.0
12.0,8.0,24.0,53.0,65.0
12.0,9.0,26.0,24.0,52.0
12.0,9.0,26.0,66.0,67.0
12.0,9.0,25.0,53.0,65.0
12.0,9.0,27.0,7.0,23.0
12.0,10.0,30.0,7.0,23.0
12.0,10.0,28.0,24.0,67.0
12.0,11.0,33.0,7.0,23.0
12.0,11.0,31.0,24.0,67.0
13.0,1.0,3.0,35.0,67.0
13.0,2.0,4.0,35.0,37.0
13.0,2.0,4.0,43.0,44.0
13.0,2.0,4.0,47.0,48.0
13.0,2.0,5.0,7.0,8.0
13.0,2.0,5.0,41.0,42.0
13.0,2.0,5.0,44.0,45.0
13.0,2.0,6.0,22.0,23.0
13.0,3.0,8.0,3.0,4.0
13.0,3.0,8.0,27.0,28.0
13.0,3.0,8.0,33.0,34.0
13.0,3.0,8.0,37.0,38.0
13.0,3.0,8.0,43.0,44.0
13.0,3.0,8.0,46.0,47.0
13.0,3.0,9.0,4.0,5.0
13.0,3.0,9.0,7.0,8.0
13.0,3.0,9.0,10.0,11.0
13.0,3.0,9.0,12.0,13.0
13.0,3.0,9.0,14.0,15.0
13.0,3.0,9.0,19.0,20.0
13.0,3.0,9.0,25.0,26.0
13.0,3.0,9.0,30.0,31.0
13.0,3.0,9.0,44.0,45.0
13.0,4.0,12.0,7.0,8.0
13.0,4.0,12.0,30.0,31.0
13.0,4.0,12.0,44.0,45.0
13.0,4.0,10.0,3.0,6.0
13.0,4.0,10.0,8.0,13.0
13.0,4.0,10.0,15.0,16.0
13.0,4.0,10.0,19.0,20.0
13.0,4.0,10.0,22.0,23.0
13.0,4.0,10.0,25.0,27.0
13.0,4.0,10.0,31.0,34.0
13.0,4.0,10.0,37.0,38.0
13.0,4.0,10.0,43.0,44.0
13.0,4.0,10.0,46.0,47.0
13.0,4.0,11.0,14.0,15.0
13.0,5.0,13.0,35.0,37.0
13.0,5.0,13.0,43.0,44.0
13.0,5.0,13.0,46.0,47.0
13.0,5.0,15.0,44.0,45.0
13.0,5.0,14.0,7.0,8.0
13.0,5.0,14.0,22.0,23.0
13.0,7.0,21.0,35.0,53.0
13.0,7.0,19.0,54.0,67.0
13.0,8.0,24.0,35.0,53.0
13.0,8.0,22.0,54.0,67.0
