STIs,TempRels,VerSupp,HorSupp
[1],[],0.5182926829268293,1.2352941176470589
[2],[],0.6951219512195121,1.412280701754386
[3],[],0.5,1.3414634146341464
[4],[],0.4329268292682927,3.0422535211267605
[5],[],0.6219512195121951,3.892156862745098
[6],[],0.8353658536585366,5.357664233576642
[7],[],0.17682926829268292,3.4827586206896552
[8],[],0.0975609756097561,2.9375
[9],[],0.2073170731707317,4.5588235294117645
[10],[],0.4451219512195122,3.7260273972602738
[11],[],0.4451219512195122,3.6986301369863015
[12],[],0.34146341463414637,3.3035714285714284
[13],[],0.34146341463414637,4.196428571428571
[14],[],0.14634146341463414,2.4583333333333335
[15],[],0.4634146341463415,3.1973684210526314
[16],[],0.4024390243902439,3.227272727272727
[17],[],0.39634146341463417,3.0923076923076924
[18],[],0.3048780487804878,2.8
[19],[],0.40853658536585363,1.2835820895522387
[20],[],0.4817073170731707,1.3291139240506329
[21],[],0.5792682926829268,1.2842105263157895
[22],[],0.4878048780487805,1.425
[23],[],0.7378048780487805,1.603305785123967
[24],[],0.6402439024390244,1.619047619047619
[25],[],0.1951219512195122,1.53125
[26],[],0.6280487804878049,1.6019417475728155
[27],[],0.9695121951219512,1.6477987421383649
[28],[],0.47560975609756095,1.3333333333333333
[29],[],0.40853658536585363,1.4029850746268657
[30],[],0.45121951219512196,1.3108108108108107
[31],[],0.12804878048780488,1.1904761904761905
[32],[],0.49390243902439024,1.3209876543209877
[33],[],0.9207317073170732,1.4503311258278146
[34],[],0.0975609756097561,4.375
[36],[],0.20121951219512196,3.606060606060606
[999],[],1.0,1.0
"[1, 3]",['b'],0.054878048780487805,1.4444444444444444
"[1, 4]",['b'],0.06707317073170732,1.9090909090909092
"[1, 4, 999]","['b', 'b', 'b']",0.06097560975609756,1.9
"[1, 4]",['c'],0.06097560975609756,2.5
"[1, 4, 999]","['c', 'b', 'b']",0.06097560975609756,2.5
"[1, 5]",['b'],0.07926829268292683,2.8461538461538463
"[1, 5, 999]","['b', 'b', 'b']",0.07317073170731707,2.8333333333333335
"[1, 5]",['c'],0.17682926829268292,2.413793103448276
"[1, 5, 15]","['c', 'c', 'b']",0.054878048780487805,6.888888888888889
"[1, 5, 15, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.054878048780487805,6.888888888888889
"[1, 5, 999]","['c', 'b', 'b']",0.17682926829268292,2.413793103448276
"[1, 6]",['b'],0.1402439024390244,4.0
"[1, 6, 10]","['b', 'b', 'b']",0.054878048780487805,9.11111111111111
"[1, 6, 10, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,9.11111111111111
"[1, 6, 11]","['b', 'b', 'b']",0.054878048780487805,8.444444444444445
"[1, 6, 11, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,8.444444444444445
"[1, 6, 13]","['b', 'b', 'b']",0.06097560975609756,10.7
"[1, 6, 13, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,8.8
"[1, 6, 15]","['b', 'b', 'b']",0.06097560975609756,7.2
"[1, 6, 15, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,7.0
"[1, 6, 23]","['b', 'b', 'b']",0.06097560975609756,5.9
"[1, 6, 23, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,5.9
"[1, 6, 999]","['b', 'b', 'b']",0.12804878048780488,4.238095238095238
"[1, 6]",['m'],0.09146341463414634,1.0
"[1, 6, 999]","['m', 'b', 'm']",0.06707317073170732,1.0
"[1, 6]",['f'],0.06097560975609756,1.0
"[1, 6, 999]","['f', 'b', 'b']",0.06097560975609756,1.0
"[1, 6]",['c'],0.2926829268292683,4.104166666666667
"[1, 6, 11]","['c', 'c', 'b']",0.07317073170731707,3.1666666666666665
"[1, 6, 11, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.07317073170731707,3.1666666666666665
"[1, 6, 13]","['c', 'c', 'b']",0.06097560975609756,9.2
"[1, 6, 13, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06097560975609756,9.2
"[1, 6, 15]","['c', 'c', 'b']",0.0975609756097561,6.8125
"[1, 6, 15, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.0975609756097561,6.8125
